# th1, dth1, tau1_cmd, tau1, th2, dth2, tau2_cmd, tau2
-6.708984365686774254e-01,0.000000000000000000e+00,-6.765557918697595596e+00,6.242155075073242188e+00,2.205219343304634094e-01,0.000000000000000000e+00,2.691650390625000000e+00,2.487664222717285156e+00
-6.708984365686774254e-01,0.000000000000000000e+00,-6.765557918697595596e+00,5.287784099578857422e+00,2.205219343304634094e-01,0.000000000000000000e+00,2.691650390625000000e+00,2.711657762527465820e+00
-6.708984365686774254e-01,0.000000000000000000e+00,-6.765557918697595596e+00,7.740877151489257812e+00,2.205219343304634094e-01,0.000000000000000000e+00,2.691650390625000000e+00,2.768433094024658203e+00
-6.708984365686774254e-01,0.000000000000000000e+00,-6.765557918697595596e+00,6.796228408813476562e+00,2.205219343304634094e-01,0.000000000000000000e+00,2.691650390625000000e+00,2.594132423400878906e+00
-6.708984365686774254e-01,0.000000000000000000e+00,-6.765557918697595596e+00,5.700979232788085938e+00,2.205219343304634094e-01,0.000000000000000000e+00,2.691650390625000000e+00,2.683194875717163086e+00
-6.708984365686774254e-01,0.000000000000000000e+00,-6.765557918697595596e+00,5.225593090057373047e+00,2.205219343304634094e-01,0.000000000000000000e+00,2.691650390625000000e+00,2.640269279479980469e+00
-6.708984365686774254e-01,0.000000000000000000e+00,-6.765557918697595596e+00,6.722364902496337891e+00,2.205219343304634094e-01,0.000000000000000000e+00,2.691650390625000000e+00,2.728641033172607422e+00
-6.708984365686774254e-01,0.000000000000000000e+00,-6.765557918697595596e+00,6.238737106323242188e+00,2.205219343304634094e-01,0.000000000000000000e+00,2.691650390625000000e+00,2.707074642181396484e+00
-6.708984365686774254e-01,0.000000000000000000e+00,-6.765557918697595596e+00,6.404915809631347656e+00,2.205219343304634094e-01,0.000000000000000000e+00,2.691650390625000000e+00,2.591319561004638672e+00
-6.708984365686774254e-01,0.000000000000000000e+00,-6.765557918697595596e+00,7.356107711791992188e+00,2.205219343304634094e-01,0.000000000000000000e+00,2.691650390625000000e+00,2.589587926864624023e+00
-6.708984365686774254e-01,0.000000000000000000e+00,-6.765557918697595596e+00,7.975416183471679688e+00,2.205219343304634094e-01,0.000000000000000000e+00,2.691650390625000000e+00,2.705558776855468750e+00
-6.708984365686774254e-01,0.000000000000000000e+00,-6.765557918697595596e+00,7.839802265167236328e+00,2.205219343304634094e-01,0.000000000000000000e+00,2.691650390625000000e+00,2.611661672592163086e+00
-6.708984365686774254e-01,0.000000000000000000e+00,-6.765557918697595596e+00,6.729089736938476562e+00,2.205219343304634094e-01,0.000000000000000000e+00,2.691650390625000000e+00,2.797032833099365234e+00
-6.708984365686774254e-01,0.000000000000000000e+00,-6.765557918697595596e+00,7.526992797851562500e+00,2.205219343304634094e-01,0.000000000000000000e+00,2.691650390625000000e+00,2.703247785568237305e+00
-6.708984365686774254e-01,0.000000000000000000e+00,-6.765557918697595596e+00,6.436371326446533203e+00,2.205219343304634094e-01,0.000000000000000000e+00,2.691650390625000000e+00,2.821298360824584961e+00
-6.708984365686774254e-01,0.000000000000000000e+00,-6.765557918697595596e+00,6.872296810150146484e+00,2.205219343304634094e-01,0.000000000000000000e+00,2.691650390625000000e+00,2.590609073638916016e+00
-6.708984365686774254e-01,0.000000000000000000e+00,-6.706811578944325447e+00,7.287855625152587891e+00,2.205219343304634094e-01,0.000000000000000000e+00,2.691650390625000000e+00,2.727678060531616211e+00
-6.708984365686774254e-01,0.000000000000000000e+00,-6.728936824947595596e+00,7.445741653442382812e+00,2.205219343304634094e-01,0.000000000000000000e+00,2.691650390625000000e+00,2.719712972640991211e+00
-6.708984365686774254e-01,0.000000000000000000e+00,-6.716729793697595596e+00,6.552692890167236328e+00,2.205219343304634094e-01,0.000000000000000000e+00,2.691650390625000000e+00,2.625656604766845703e+00
-6.708984365686774254e-01,0.000000000000000000e+00,-6.636239673942327499e+00,7.118122100830078125e+00,2.205219343304634094e-01,0.000000000000000000e+00,2.691650390625000000e+00,2.823018789291381836e+00
-6.708984365686774254e-01,0.000000000000000000e+00,-6.646157892420887947e+00,6.495369911193847656e+00,2.205219343304634094e-01,0.000000000000000000e+00,2.691650390625000000e+00,2.822447061538696289e+00
-6.708984365686774254e-01,0.000000000000000000e+00,-6.543924000114202499e+00,5.937920093536376953e+00,2.205219343304634094e-01,0.000000000000000000e+00,2.691650390625000000e+00,2.567069053649902344e+00
-6.708984365686774254e-01,0.000000000000000000e+00,-6.557847650721669197e+00,5.383773803710937500e+00,2.205219343304634094e-01,0.000000000000000000e+00,2.691650390625000000e+00,2.797977685928344727e+00
-6.708984365686774254e-01,0.000000000000000000e+00,-6.558038387447595596e+00,7.284232139587402344e+00,2.205219343304634094e-01,0.000000000000000000e+00,2.691650390625000000e+00,2.566970586776733398e+00
-6.708984365686774254e-01,0.000000000000000000e+00,-6.506539972499012947e+00,5.329914093017578125e+00,2.205219343304634094e-01,0.000000000000000000e+00,2.691650390625000000e+00,2.798794746398925781e+00
-6.708984365686774254e-01,0.000000000000000000e+00,-6.497193964198231697e+00,7.537310123443603516e+00,2.205219343304634094e-01,0.000000000000000000e+00,2.691650390625000000e+00,2.567618131637573242e+00
-6.708984365686774254e-01,0.000000000000000000e+00,-6.386377003043889999e+00,6.181410789489746094e+00,2.205219343304634094e-01,0.000000000000000000e+00,2.691650390625000000e+00,2.771035909652709961e+00
-6.708984365686774254e-01,0.000000000000000000e+00,-6.435968074947595596e+00,6.108731269836425781e+00,2.205219343304634094e-01,0.000000000000000000e+00,2.691650390625000000e+00,2.706912040710449219e+00
-6.708984365686774254e-01,0.000000000000000000e+00,-6.325151104480028152e+00,7.516689777374267578e+00,2.205219343304634094e-01,0.000000000000000000e+00,2.691650390625000000e+00,2.591602087020874023e+00
-6.708984365686774254e-01,0.000000000000000000e+00,-6.374932918697595596e+00,5.475242614746093750e+00,2.205219343304634094e-01,0.000000000000000000e+00,2.691650390625000000e+00,2.835370779037475586e+00
-6.708984365686774254e-01,0.000000000000000000e+00,-6.259156849235296249e+00,7.363678932189941406e+00,2.205219343304634094e-01,0.000000000000000000e+00,2.691650390625000000e+00,2.727699756622314453e+00
-6.708984365686774254e-01,0.000000000000000000e+00,-6.307794244959950447e+00,5.164354324340820312e+00,2.205219343304634094e-01,0.000000000000000000e+00,2.750587466172873974e+00,2.797754526138305664e+00
-6.708984365686774254e-01,0.000000000000000000e+00,-6.018258694559335709e+00,6.560773849487304688e+00,2.205219343304634094e-01,0.000000000000000000e+00,2.864742290228605270e+00,2.821946382522583008e+00
-6.708984365686774254e-01,0.000000000000000000e+00,-5.861093167215585709e+00,6.406451225280761719e+00,2.205219343304634094e-01,0.000000000000000000e+00,3.087902080267667770e+00,2.958579063415527344e+00
-6.708984365686774254e-01,0.000000000000000000e+00,-5.536843899637460709e+00,4.967397212982177734e+00,2.205219343304634094e-01,0.000000000000000000e+00,3.309059165418148041e+00,3.224066257476806641e+00
-6.708984365686774254e-01,0.000000000000000000e+00,-4.891969297081232071e+00,5.683816432952880859e+00,2.205219343304634094e-01,0.000000000000000000e+00,3.875541731715202332e+00,3.602383375167846680e+00
-6.708984365686774254e-01,0.000000000000000000e+00,-3.005029235035181046e+00,2.091645240783691406e+00,2.206020429730415344e-01,1.525878999382257462e-02,5.066013422794640064e+00,4.662204742431640625e+00
-6.680946340784430504e-01,3.356933891773223877e-01,-2.642633054405450821e+00,9.353120326995849609e-01,2.213516309857368469e-01,9.155274182558059692e-02,6.083965368568897247e+00,5.633148670196533203e+00
-6.636657705530524254e-01,1.831054985523223877e-01,-2.989961240440607071e+00,4.969249248504638672e+00,2.233867719769477844e-01,1.373291164636611938e-01,7.684993878006935120e+00,7.085068702697753906e+00
-6.586132040247321129e-01,4.272461235523223877e-01,-4.921099916100502014e-02,-3.020870685577392578e-02,2.272949293255805969e-01,2.288818657398223877e-01,8.717537015676498413e+00,8.388750076293945312e+00
-6.385211935266852379e-01,2.090454339981079102e+00,-2.436448965221643448e+00,1.308347702026367188e+00,2.327079847455024719e-01,3.509521782398223877e-01,1.018409755825996399e+01,9.918079376220703125e+00
-6.190299978479743004e-01,6.103539466857910156e-02,3.153608407825231552e+00,-2.480553388595581055e+00,2.422351911664009094e-01,6.561279892921447754e-01,1.097517031431198120e+01,1.056093120574951172e+01
-6.057033529505133629e-01,2.059936761856079102e+00,-6.313506141304969788e-02,7.665193080902099609e-01,2.568473890423774719e-01,9.765626192092895508e-01,9.459686279296875000e+00,1.005720424652099609e+01
-5.747966757044196129e-01,9.155275821685791016e-01,3.360174503177404404e+00,-2.635051727294921875e+00,2.727775648236274719e-01,1.098632931709289551e+00,9.465122222900390625e+00,9.445962905883789062e+00
-5.522117605432868004e-01,1.800537347793579102e+00,1.424978580325841904e+00,-1.943557143211364746e+00,2.913436964154243469e-01,1.098632931709289551e+00,8.628273010253906250e+00,8.729034423828125000e+00
-5.323467245325446129e-01,1.159668207168579102e+00,4.327200260013341904e+00,-3.052128314971923828e+00,3.123550489544868469e-01,1.205444455146789551e+00,7.036399841308593750e+00,7.093420982360839844e+00
-5.015525808557868004e-01,2.471924066543579102e+00,1.034544315189123154e+00,-1.657348871231079102e+00,3.307991102337837219e-01,1.113891720771789551e+00,6.736564636230468750e+00,7.413699626922607422e+00
-4.790458669885993004e-01,7.019045352935791016e-01,6.740187015384435654e+00,-6.663555145263671875e+00,3.514385297894477844e-01,1.174926877021789551e+00,5.680274963378906250e+00,6.008288860321044922e+00
