# th1, dth1, tau1_cmd, tau1, th2, dth2, tau2_cmd, tau2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.117458581924438477e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.349517643451690674e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.829375505447387695e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.754933550953865051e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.291980743408203125e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.775192260742187500e-02,-4.929114878177642822e-02
0.000000000000000000e+00,0.000000000000000000e+00,3.929138276726007462e-02,3.720259666442871094e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.288788028061389923e-02,8.430605381727218628e-02
0.000000000000000000e+00,0.000000000000000000e+00,6.713867280632257462e-02,-1.001482903957366943e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.714706458151340485e-01,2.818498313426971436e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.084732130169868469e-01,1.396651506423950195e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.372741773724555969e-01,2.526521682739257812e-03
0.000000000000000000e+00,0.000000000000000000e+00,3.152847364544868469e-01,-1.646373867988586426e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.487587049603462219e-01,2.639803886413574219e-01
0.000000000000000000e+00,0.000000000000000000e+00,4.623413160443305969e-01,-1.030675172805786133e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.388260036706924438e-01,4.893476665019989014e-01
0.000000000000000000e+00,0.000000000000000000e+00,7.711410671472549438e-01,-7.307353615760803223e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.570266872644424438e-01,4.189223945140838623e-01
6.103515625000000000e-05,1.525878999382257462e-02,1.107597365044057369e+00,-5.183815956115722656e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.098728194832801819e+00,1.068657994270324707e+00
4.064559936523437500e-03,3.204346001148223877e-01,6.689071506261825562e-01,-2.434704542160034180e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.123142255470156670e+00,1.052559852600097656e+00
5.126953125000000000e-03,0.000000000000000000e+00,1.106262221932411194e+00,-1.730239510536193848e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.780891448259353638e+00,1.433160781860351562e+00
5.126953125000000000e-03,0.000000000000000000e+00,1.489448562264442444e+00,-3.827452659606933594e-01,-1.296997070312500000e-04,-1.525878999382257462e-02,2.452278198674321175e+00,2.304604053497314453e+00
6.711959838867187500e-03,1.373291164636611938e-01,1.973915114998817444e+00,-2.616124629974365234e+00,-1.220703125000000000e-04,0.000000000000000000e+00,2.929782927036285400e+00,2.822498798370361328e+00
9.578704833984375000e-03,2.136230617761611938e-01,2.047729507088661194e+00,-3.161282300949096680e+00,-1.220703125000000000e-04,0.000000000000000000e+00,3.521061003208160400e+00,3.320799112319946289e+00
1.214599609375000000e-02,1.373291164636611938e-01,2.968215987086296082e+00,-2.896655559539794922e+00,4.310607910156250000e-04,4.577637463808059692e-02,4.237461134791374207e+00,4.082696437835693359e+00
1.814460754394531250e-02,3.356933891773223877e-01,2.259063750505447388e+00,-3.325884819030761719e+00,5.512237548828125000e-04,0.000000000000000000e+00,4.773807585239410400e+00,4.481220722198486328e+00
2.322196960449218750e-02,3.662109673023223877e-01,2.681732207536697388e+00,-1.747870922088623047e+00,5.512237548828125000e-04,0.000000000000000000e+00,5.600071012973785400e+00,5.298012256622314453e+00
2.973747253417968750e-02,1.983643174171447754e-01,2.421379089355468750e+00,-2.233356714248657227e+00,6.732940673828125000e-04,0.000000000000000000e+00,6.031036436557769775e+00,5.779149532318115234e+00
3.210449218750000000e-02,1.220703721046447754e-01,3.079223632812500000e+00,-3.240762948989868164e+00,6.732940673828125000e-04,0.000000000000000000e+00,6.531429350376129150e+00,6.455418109893798828e+00
3.544616699218750000e-02,1.525879502296447754e-01,3.148460388183593750e+00,-3.446550369262695312e+00,6.732940673828125000e-04,0.000000000000000000e+00,7.003307402133941650e+00,6.926697254180908203e+00
3.652572631835937500e-02,1.220703721046447754e-01,3.818702697753906250e+00,-3.736967563629150391e+00,1.243591308593750000e-03,9.155274182558059692e-02,7.244491621851921082e+00,7.063574790954589844e+00
4.173851013183593750e-02,3.356934189796447754e-01,3.490257263183593750e+00,-3.914730072021484375e+00,3.881454467773437500e-03,1.831054836511611938e-01,7.097435027360916138e+00,7.095382690429687500e+00
4.595184326171875000e-02,3.051758408546447754e-01,3.606224060058593750e+00,-3.821807146072387695e+00,7.352828979492187500e-03,1.678466945886611938e-01,6.960678130388259888e+00,6.953867912292480469e+00
5.366134643554687500e-02,5.340576767921447754e-01,2.543830871582031250e+00,-2.338512897491455078e+00,1.018142700195312500e-02,1.983642727136611938e-01,6.744289427995681763e+00,6.734399318695068359e+00
5.938339233398437500e-02,3.662109971046447754e-01,2.406883239746093750e+00,-2.855527639389038086e+00,1.271247863769531250e-02,1.373291164636611938e-01,6.668186217546463013e+00,6.794091224670410156e+00
6.747436523437500000e-02,3.967285752296447754e-01,1.597976684570312500e+00,-1.997004747390747070e+00,1.472663879394531250e-02,9.155274927616119385e-02,6.496048003435134888e+00,6.471607685089111328e+00
7.337951660156250000e-02,3.814697861671447754e-01,1.020812928676605225e+00,-4.796760082244873047e-01,1.666641235351562500e-02,3.051759302616119385e-02,6.310749024152755737e+00,6.699896335601806641e+00
7.858276367187500000e-02,1.831055283546447754e-01,6.988524794578552246e-01,-1.250187754631042480e+00,1.763916015625000000e-02,6.103517115116119385e-02,6.002807579934597015e+00,6.003983497619628906e+00
8.137702941894531250e-02,1.220703721046447754e-01,4.804610610008239746e-01,-9.231870770454406738e-01,1.812934875488281250e-02,0.000000000000000000e+00,5.597209900617599487e+00,5.915861129760742188e+00
8.271789550781250000e-02,3.051763772964477539e-02,-5.455026030540466309e-02,-1.693833827972412109e+00,1.770019531250000000e-02,-3.051758557558059692e-02,5.189895614981651306e+00,5.356703281402587891e+00
8.399009704589843750e-02,7.629400491714477539e-02,-1.040077298879623413e+00,1.129498958587646484e+00,1.690101623535156250e-02,-3.051758557558059692e-02,4.559135392308235168e+00,4.852827072143554688e+00
8.459472656250000000e-02,0.000000000000000000e+00,-2.103996336460113525e+00,1.737419962882995605e+00,1.684570312500000000e-02,0.000000000000000000e+00,3.702068269252777100e+00,3.865446567535400391e+00
