# th1, dth1, tau1_cmd, tau1, th2, dth2, tau2_cmd, tau2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.094911098480224609e-01,-2.441406250000000000e-04,0.000000000000000000e+00,3.662109375000000000e-02,1.056050062179565430e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.382482647895812988e-01,-2.441406250000000000e-04,0.000000000000000000e+00,3.662109375000000000e-02,-9.170947968959808350e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.558163315057754517e-01,-2.441406250000000000e-04,0.000000000000000000e+00,6.437301635742187500e-02,3.491956591606140137e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.929138276726007462e-02,7.630455493927001953e-01,-2.441406250000000000e-04,0.000000000000000000e+00,1.295089740306138992e-01,7.800459116697311401e-02
0.000000000000000000e+00,0.000000000000000000e+00,6.713867280632257462e-02,1.357356309890747070e-01,-2.441406250000000000e-04,0.000000000000000000e+00,2.080917395651340485e-01,2.978629767894744873e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.084732130169868469e-01,-5.228546857833862305e-01,-2.441406250000000000e-04,0.000000000000000000e+00,2.738952711224555969e-01,2.482157498598098755e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.152847364544868469e-01,-5.124312639236450195e-02,-2.441406250000000000e-04,0.000000000000000000e+00,3.853797987103462219e-01,4.456622004508972168e-01
0.000000000000000000e+00,0.000000000000000000e+00,4.623413160443305969e-01,-6.578839421272277832e-01,-2.441406250000000000e-04,0.000000000000000000e+00,5.754470974206924438e-01,4.344178736209869385e-01
0.000000000000000000e+00,0.000000000000000000e+00,7.711410671472549438e-01,-5.725793242454528809e-01,-2.441406250000000000e-04,0.000000000000000000e+00,7.936477810144424438e-01,7.659943699836730957e-01
0.000000000000000000e+00,1.525878999382257462e-02,1.113700880669057369e+00,-1.334510445594787598e+00,-2.441406250000000000e-04,0.000000000000000000e+00,1.135349288582801819e+00,1.064890623092651367e+00
4.882812500000000000e-04,0.000000000000000000e+00,1.346969619393348694e+00,-1.262885808944702148e+00,-2.441406250000000000e-04,0.000000000000000000e+00,1.159763349220156670e+00,1.267804265022277832e+00
8.087158203125000000e-04,1.525879185646772385e-02,1.522827160544693470e+00,-9.904788732528686523e-01,-2.441406250000000000e-04,0.000000000000000000e+00,1.817512542009353638e+00,1.195318698883056641e+00
1.073837280273437500e-03,1.525878999382257462e-02,1.879501356743276119e+00,-2.041288137435913086e+00,-2.441406250000000000e-04,0.000000000000000000e+00,2.438926756381988525e+00,2.028216361999511719e+00
1.634597778320312500e-03,4.577637091279029846e-02,2.573204066604375839e+00,-2.802336931228637695e+00,1.602172851562500000e-04,3.051758185029029846e-02,2.826404623687267303e+00,2.578711509704589844e+00
3.171920776367187500e-03,1.068115383386611938e-01,2.795219436287879944e+00,-3.153230905532836914e+00,5.626678466796875000e-04,1.525879185646772385e-02,3.387832695618271828e+00,3.048767805099487305e+00
4.562377929687500000e-03,9.155274927616119385e-02,3.772354170680046082e+00,-3.732266426086425781e+00,1.165390014648437500e-03,1.525879185646772385e-02,4.188346916809678078e+00,4.035441398620605469e+00
8.996963500976562500e-03,3.509521782398223877e-01,3.158569365739822388e+00,-3.225855588912963867e+00,1.770019531250000000e-03,3.051758557558059692e-02,4.529953047633171082e+00,4.318021297454833984e+00
1.167488098144531250e-02,1.373291313648223877e-01,4.065322905778884888e+00,-4.093630313873291016e+00,3.053665161132812500e-03,6.103516370058059692e-02,5.102634474635124207e+00,5.132785320281982422e+00
1.978683471679687500e-02,6.256104111671447754e-01,2.989196777343750000e+00,-2.914706468582153320e+00,3.614425659179687500e-03,1.525879558175802231e-02,5.559349106624722481e+00,5.392098903656005859e+00
2.821350097656250000e-02,4.272461533546447754e-01,3.163146972656250000e+00,-1.308074712753295898e+00,5.187988281250000000e-03,9.155274927616119385e-02,5.671119719743728638e+00,5.769248485565185547e+00
4.180908203125000000e-02,8.087158799171447754e-01,1.856040954589843750e+00,-2.148032665252685547e+00,5.718231201171875000e-03,3.051759302616119385e-02,6.185531646013259888e+00,6.598793506622314453e+00
5.388832092285156250e-02,9.307861924171447754e-01,1.273727416992187500e+00,-1.610364556312561035e+00,7.284164428710937500e-03,4.577638208866119385e-02,6.429958373308181763e+00,7.024876594543457031e+00
6.970024108886718750e-02,5.645753145217895508e-01,4.652022719383239746e-01,-1.017493963241577148e+00,7.715225219726562500e-03,7.629395276308059692e-02,6.735992476344108582e+00,6.952164173126220703e+00
7.435607910156250000e-02,1.831055879592895508e-01,8.878707289695739746e-01,-9.393134117126464844e-01,9.485244750976562500e-03,6.103517115116119385e-02,6.854438811540603638e+00,6.690266132354736328e+00
7.840919494628906250e-02,3.662110567092895508e-01,2.368926405906677246e-01,-3.696417510509490967e-01,1.046562194824218750e-02,9.155274182558059692e-02,6.915283247828483582e+00,6.844960689544677734e+00
8.190345764160156250e-02,0.000000000000000000e+00,5.210877060890197754e-01,-5.797693729400634766e-01,1.180458068847656250e-02,0.000000000000000000e+00,7.079029142856597900e+00,6.292706489562988281e+00
7.925415039062500000e-02,-6.103516221046447754e-01,1.427078366279602051e+00,-1.121219873428344727e+00,1.373672485351562500e-02,9.155274927616119385e-02,6.644535094499588013e+00,6.779296875000000000e+00
7.264709472656250000e-02,-2.136231064796447754e-01,1.689148008823394775e+00,-1.456626892089843750e+00,1.525306701660156250e-02,1.220703274011611938e-01,6.339645355939865112e+00,6.554733276367187500e+00
6.595993041992187500e-02,-4.119873642921447754e-01,2.556228697299957275e+00,-2.082172632217407227e+00,1.691436767578125000e-02,6.103517115116119385e-02,6.111526452004909515e+00,6.794560432434082031e+00
