# th1, dth1, tau1_cmd, tau1, th2, dth2, tau2_cmd, tau2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.312769830226898193e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.381432563066482544e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.068106949329376221e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.633812233805656433e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.019859075546264648e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.203076019883155823e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.333887577056884766e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.949018359184265137e-03
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.185116410255432129e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.224846318364143372e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.187164187431335449e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.012752771377563477e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.321255326271057129e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.792027667164802551e-03
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.932254433631896973e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.783298492431640625e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.077400684356689453e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.719401270151138306e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.395606547594070435e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.732112705707550049e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.148231446743011475e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.018313318490982056e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.767733246088027954e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.319995760917663574e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.326186299324035645e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.439166963100433350e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.940446913242340088e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.215585112571716309e-02
