# th1, dth1, tau1_cmd, tau1, th2, dth2, tau2_cmd, tau2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.975279808044433594e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.179729253053665161e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.560938477516174316e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.189551830291748047e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.707795441150665283e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.017579674720764160e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.123158931732177734e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.554101645946502686e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.226417422294616699e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.418015509843826294e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.390421241521835327e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.578107476234436035e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.149637579917907715e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.223198398947715759e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.913294792175292969e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.233364343643188477e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.131312370300292969e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.431558579206466675e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.232930898666381836e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.410911977291107178e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.912474155426025391e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.675644516944885254e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.725658655166625977e-01,0.000000000000000000e+00,-1.525878999382257462e-02,7.629394996911287308e-02,-1.325377374887466431e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.428392887115478516e-01,-4.901885986328125000e-04,-1.525879185646772385e-02,1.988411089405417442e-01,-1.053556948900222778e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.183607459068298340e-01,-7.686614990234375000e-04,-1.525878999382257462e-02,2.684593247249722481e-01,2.860070466995239258e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.168300271034240723e+00,-1.363754272460937500e-03,-3.051758185029029846e-02,4.935264773666858673e-01,3.970578312873840332e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.987200260162353516e-02,-2.061843872070312500e-03,-4.577637091279029846e-02,7.443428225815296173e-01,9.632747769355773926e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.970359802246093750e+00,-3.326416015625000000e-03,-1.373291164636611938e-01,1.518249586224555969e+00,1.273733377456665039e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.386156499385833740e-01,-6.858825683593750000e-03,-2.441406399011611938e-01,2.935409620404243469e+00,2.626785755157470703e+00
-1.276016235351562500e-03,-2.136230617761611938e-01,8.322716206312179565e-01,-4.727414548397064209e-01,-1.181602478027343750e-02,-3.051758110523223877e-01,4.479885250329971313e+00,4.420593738555908203e+00
-5.725860595703125000e-03,-2.593994438648223877e-01,1.637077420949935913e+00,-1.054610848426818848e+00,-1.757431030273437500e-02,-3.204346001148223877e-01,5.995750576257705688e+00,5.707829952239990234e+00
-1.062965393066406250e-02,-3.204346001148223877e-01,2.555751889944076538e+00,-1.990703582763671875e+00,-2.209472656250000000e-02,-2.136230766773223877e-01,6.591797024011611938e+00,6.618296623229980469e+00
-1.527595520019531250e-02,-2.136230766773223877e-01,2.932262510061264038e+00,-3.145972728729248047e+00,-2.368164062500000000e-02,0.000000000000000000e+00,5.920410156250000000e+00,5.971836566925048828e+00
-1.784706115722656250e-02,-9.155276417732238770e-02,2.951717466115951538e+00,-4.264202117919921875e+00,-2.299118041992187500e-02,1.373291164636611938e-01,5.061149522662162781e+00,4.986599922180175781e+00
-1.931953430175781250e-02,-6.103518605232238770e-02,3.081035703420639038e+00,-4.428221225738525391e+00,-1.958274841308593750e-02,9.155276417732238770e-02,4.437923282384872437e+00,4.340297222137451172e+00
-1.962471008300781250e-02,0.000000000000000000e+00,2.943706512451171875e+00,-3.647535324096679688e+00,-1.692771911621093750e-02,1.678467094898223877e-01,3.392696231603622437e+00,3.355541467666625977e+00
-1.962471008300781250e-02,0.000000000000000000e+00,2.943706512451171875e+00,-2.967298269271850586e+00,-1.745605468750000000e-02,0.000000000000000000e+00,4.364013671875000000e+00,4.192621231079101562e+00
-1.962471008300781250e-02,0.000000000000000000e+00,2.943706512451171875e+00,-4.165761947631835938e+00,-1.768493652343750000e-02,-1.525878999382257462e-02,4.497528080828487873e+00,4.390026569366455078e+00
-1.962471008300781250e-02,0.000000000000000000e+00,2.943706512451171875e+00,-2.199749946594238281e+00,-2.022552490234375000e-02,-6.103518605232238770e-02,5.361557155847549438e+00,5.060968875885009766e+00
-1.962471008300781250e-02,0.000000000000000000e+00,2.943706512451171875e+00,-2.423759460449218750e+00,-2.010345458984375000e-02,4.577637091279029846e-02,4.796981792896986008e+00,4.919580936431884766e+00
-1.962471008300781250e-02,0.000000000000000000e+00,2.943706512451171875e+00,-2.785673618316650391e+00,-2.010536193847656250e-02,-6.103515997529029846e-02,5.331516284495592117e+00,5.499245166778564453e+00
-1.850891113281250000e-02,7.629395276308059692e-02,2.547454811632633209e+00,-1.595946550369262695e+00,-2.174949645996093750e-02,-3.051759302616119385e-02,5.589962080121040344e+00,5.570374011993408203e+00
-1.712989807128906250e-02,9.155274182558059692e-02,2.294826485216617584e+00,-2.341568946838378906e+00,-2.156257629394531250e-02,3.051758185029029846e-02,5.238056164234876633e+00,5.150110721588134766e+00
-1.585006713867187500e-02,6.103516370058059692e-02,2.194404579699039459e+00,-2.568609476089477539e+00,-2.085304260253906250e-02,4.577637463808059692e-02,4.984378777444362640e+00,5.071310520172119141e+00
-1.527404785156250000e-02,0.000000000000000000e+00,2.291107177734375000e+00,-1.506503701210021973e+00,-2.025985717773437500e-02,4.577637091279029846e-02,4.836082439869642258e+00,4.584750652313232422e+00
-1.513671875000000000e-02,0.000000000000000000e+00,2.270507812500000000e+00,-3.260256052017211914e+00,-1.926040649414062500e-02,6.103516370058059692e-02,4.509925805032253265e+00,4.585837841033935547e+00
-1.501464843750000000e-02,0.000000000000000000e+00,2.252197265625000000e+00,-2.490444421768188477e+00,-1.811027526855468750e-02,3.051758557558059692e-02,4.374980889260768890e+00,4.586457729339599609e+00
-1.501464843750000000e-02,0.000000000000000000e+00,2.252197265625000000e+00,-2.554385662078857422e+00,-1.751518249511718750e-02,0.000000000000000000e+00,4.378795623779296875e+00,4.220310688018798828e+00
-1.501464843750000000e-02,0.000000000000000000e+00,2.252197265625000000e+00,-2.601141691207885742e+00,-1.739311218261718750e-02,0.000000000000000000e+00,4.348278045654296875e+00,4.492589950561523438e+00
-1.489257812500000000e-02,1.525878999382257462e-02,2.188110348768532276e+00,-3.145151138305664062e+00,-1.739311218261718750e-02,0.000000000000000000e+00,4.348278045654296875e+00,4.340116024017333984e+00
-1.389503479003906250e-02,7.629395276308059692e-02,1.855373360216617584e+00,-2.183949470520019531e+00,-1.739311218261718750e-02,0.000000000000000000e+00,4.348278045654296875e+00,4.310391902923583984e+00
